date,noncomm_long,noncomm_short,noncomm_spread,comm_long,comm_short,open_interest,net_spec,net_comm,net_pct_oi,net_spec_z,net_change,net_change_z
1986-01-15,18589,7706,12038,80962,89990,148186,10883,-9028,7.344148570040354,,,
1986-01-31,15364,9303,10088,82262,85250,144149,6061,-2988,4.2046771049400276,,-4822.0,
1986-02-14,5457,12229,10330,94830,76735,139995,-6772,18095,-4.8373156184149435,,-12833.0,
1986-02-28,7991,12222,13205,94126,76200,143752,-4231,17926,-2.943263398074462,,2541.0,
1986-03-14,12637,11015,11390,85925,78653,142868,1622,7272,1.1353137161575722,,5853.0,
1986-03-31,9817,11406,6002,88897,67171,136568,-1589,21726,-1.163522933630133,,-3211.0,
1986-04-15,6805,20416,3121,99640,67997,138825,-13611,31643,-9.804430037817397,,-12022.0,
1986-04-30,8159,10519,3987,88769,72810,132088,-2360,15959,-1.7866876627702744,,11251.0,
1986-05-15,4649,10375,7467,94944,71660,132147,-5726,23284,-4.333053342111437,,-3366.0,
1986-05-30,4982,13683,5535,78662,56902,115038,-8701,21760,-7.563587684069612,,-2975.0,
1986-06-13,11657,10839,5447,69558,66942,115960,818,2616,0.7054156605726112,,9519.0,
1986-06-30,5361,13631,5988,88561,62551,120954,-8270,26010,-6.837310051755213,,-9088.0,
1986-07-15,6735,11983,5771,86078,67675,121925,-5248,18403,-4.304285421365594,,3022.0,
1986-07-31,18617,9540,6294,69897,71940,125988,9077,-2043,7.204654411531257,,14325.0,
1986-08-15,23234,10589,7013,67333,82453,134903,12645,-15120,9.373401629318844,,3568.0,
1986-08-29,23229,10291,7561,69541,84510,136959,12938,-14969,9.446622711906482,,293.0,
1986-09-15,24807,10423,12560,69388,95797,149809,14384,-26409,9.601559318866022,,1446.0,
1986-09-30,22421,7840,11149,57513,85239,136574,14581,-27726,10.676263417634397,,197.0,
1986-10-15,21274,10239,9744,70584,89512,147411,11035,-18928,7.485872831742543,,-3546.0,
1986-10-31,12673,9373,8897,79221,90456,146778,3300,-11235,2.2482933409639045,,-7735.0,
1986-11-14,15816,11905,6141,86136,94132,150800,3911,-7996,2.593501326259947,,611.0,
1986-11-28,10148,8849,5360,79143,81278,131679,1299,-2135,0.9864898731004944,,-2612.0,
1986-12-15,13089,11027,6366,76757,80007,134005,2062,-3250,1.538748554158427,,763.0,
1986-12-31,9405,8347,8187,81948,86647,140744,1058,-4699,0.751719433865742,,-1004.0,
1987-01-15,14063,8147,6306,68344,87902,139318,5916,-19558,4.2464003215664885,,4858.0,
1987-01-30,13453,9022,7277,62992,78194,130078,4431,-15202,3.4064176878488293,,-1485.0,
1987-02-13,7705,14024,6614,81749,77255,138130,-6319,4494,-4.574676029826975,,-10750.0,-1.4913981932263198
1987-02-27,7349,12273,6910,81851,85616,140016,-4924,-3765,-3.516740943892126,,1395.0,0.2704139691269015
1987-03-13,10654,10265,7238,79189,87238,145109,389,-8049,0.2680743441137352,,5313.0,0.7982825034015738
1987-03-31,18464,10076,8573,74906,104113,156832,8388,-29207,5.348398286064068,,7999.0,1.159966895488711
1987-04-15,27260,9006,9615,67566,111648,171395,18254,-44082,10.650252341083462,,9866.0,1.3861962651074007
1987-04-30,24684,12933,9593,64600,104305,175437,11751,-39705,6.698130952991672,,-6503.0,-1.0374997279636284
1987-05-15,32997,6294,11069,55854,126196,170819,26703,-70342,15.632335981360388,,14952.0,1.9617869970761603
1987-05-29,24267,8705,12531,56420,86818,150964,15562,-30398,10.308417900956519,,-11141.0,-1.6974445646833631
1987-06-15,20380,11899,14787,57458,83188,149219,8481,-25730,5.683592571991502,,-7081.0,-1.0753550723820031
1987-06-30,0,19,200,3912,3598,5100,-19,314,-0.37254901960784315,,-8500.0,-1.2129721442766135
1987-07-15,0,239,0,4793,4341,6597,-239,452,-3.622858875246324,,-220.0,-0.025482922241255708
1987-07-31,23945,6857,12929,60306,102966,150523,17088,-42660,11.352417902911847,,17327.0,2.1611051889927224
1987-08-14,360,0,0,622,2033,3402,360,-1411,10.582010582010582,,-16728.0,-2.039509220440958
1987-08-31,361,0,0,980,2058,3309,361,-1078,10.90964037473557,,1.0,0.043141387418864065
1987-09-15,0,0,0,1480,1823,3241,0,-343,0.0,,-361.0,0.01616750279883576
1987-09-30,0,0,0,1480,1748,2536,0,-268,0.0,,0.0,0.06419183693748971
1987-10-15,0,300,0,2130,1748,2322,-300,382,-12.919896640826872,,-300.0,0.0341988542168963
1987-10-30,0,305,0,2025,1748,2268,-305,277,-13.447971781305116,,-5.0,0.07331253822417684
